CASE: Uin = 0.026455 Ny = 21
X	Y	Z	U	V	W
6.0000000000 -0.5000000000 -0.5000000000 -0.0000000017 0.0000000000 0.0000000017
6.0000000000 -0.4499999881 -0.5000000000 -0.0000000017 -0.0000000034 -0.0000000034
6.0000000000 -0.4000000060 -0.5000000000 0.0000000034 -0.0000000034 0.0000000017
6.0000000000 -0.3499999940 -0.5000000000 -0.0000000034 0.0000000017 0.0000000000
6.0000000000 -0.3000000119 -0.5000000000 0.0000000085 0.0000000000 0.0000000000
6.0000000000 -0.2500000000 -0.5000000000 0.0000000085 -0.0000000034 -0.0000000017
6.0000000000 -0.2000000030 -0.5000000000 0.0000000085 -0.0000000051 0.0000000000
6.0000000000 -0.1500000060 -0.5000000000 0.0000000068 0.0000000017 -0.0000000017
6.0000000000 -0.1000000015 -0.5000000000 0.0000000000 0.0000000034 0.0000000000
6.0000000000 -0.0500000007 -0.5000000000 0.0000000000 0.0000000034 0.0000000017
6.0000000000 0.0000000000 -0.5000000000 -0.0000000051 0.0000000034 0.0000000017
6.0000000000 0.0500000007 -0.5000000000 -0.0000000017 -0.0000000102 -0.0000000017
6.0000000000 0.1000000015 -0.5000000000 0.0000000017 0.0000000085 -0.0000000017
6.0000000000 0.1500000060 -0.5000000000 0.0000000000 -0.0000000051 0.0000000000
6.0000000000 0.2000000030 -0.5000000000 -0.0000000017 0.0000000034 -0.0000000017
6.0000000000 0.2500000000 -0.5000000000 0.0000000017 0.0000000034 0.0000000000
6.0000000000 0.3000000119 -0.5000000000 0.0000000085 0.0000000068 -0.0000000034
6.0000000000 0.3499999940 -0.5000000000 -0.0000000017 0.0000000051 0.0000000017
6.0000000000 0.4000000060 -0.5000000000 -0.0000000017 0.0000000000 0.0000000017
6.0000000000 0.4499999881 -0.5000000000 0.0000000068 0.0000000051 0.0000000000
6.0000000000 0.5000000000 -0.5000000000 0.0000000000 0.0000000000 0.0000000000
6.0000000000 -0.5000000000 -0.4499999881 -0.0000000051 0.0000000017 -0.0000000068
6.0000000000 -0.4499999881 -0.4499999881 0.0132352086 0.0000039413 0.0000040520
6.0000000000 -0.4000000060 -0.4499999881 0.0219101496 -0.0000036553 0.0000139840
6.0000000000 -0.3499999940 -0.4499999881 0.0284246374 -0.0000250852 0.0000112097
6.0000000000 -0.3000000119 -0.4499999881 0.0334082916 -0.0000465095 0.0000079770
6.0000000000 -0.2500000000 -0.4499999881 0.0372490995 -0.0000605434 0.0000025790
6.0000000000 -0.2000000030 -0.4499999881 0.0401703902 -0.0000653139 -0.0000040662
6.0000000000 -0.1500000060 -0.4499999881 0.0423198529 -0.0000600168 -0.0000096621
6.0000000000 -0.1000000015 -0.4499999881 0.0437944382 -0.0000456091 -0.0000140248
6.0000000000 -0.0500000007 -0.4499999881 0.0446562320 -0.0000245848 -0.0000169787
6.0000000000 0.0000000000 -0.4499999881 0.0449398160 -0.0000000204 -0.0000180059
6.0000000000 0.0500000007 -0.4499999881 0.0446562544 0.0000245354 -0.0000170042
6.0000000000 0.1000000015 -0.4499999881 0.0437944382 0.0000455886 -0.0000139958
6.0000000000 0.1500000060 -0.4499999881 0.0423198529 0.0000600526 -0.0000096383
6.0000000000 0.2000000030 -0.4499999881 0.0401703604 0.0000653173 -0.0000040542
6.0000000000 0.2500000000 -0.4499999881 0.0372490622 0.0000605076 0.0000025875
6.0000000000 0.3000000119 -0.4499999881 0.0334083140 0.0000465402 0.0000079787
6.0000000000 0.3499999940 -0.4499999881 0.0284246877 0.0000251550 0.0000112148
6.0000000000 0.4000000060 -0.4499999881 0.0219101850 0.0000037200 0.0000139652
6.0000000000 0.4499999881 -0.4499999881 0.0132351872 -0.0000039021 0.0000040554
6.0000000000 0.5000000000 -0.4499999881 -0.0000000017 -0.0000000034 0.0000000000
6.0000000000 -0.5000000000 -0.4000000060 -0.0000000017 0.0000000000 -0.0000000034
6.0000000000 -0.4499999881 -0.4000000060 0.0219102129 0.0000136263 -0.0000030182
6.0000000000 -0.4000000060 -0.4000000060 0.0383113101 0.0000235090 0.0000246025
6.0000000000 -0.3499999940 -0.4000000060 0.0507604815 0.0000120920 0.0000309038
6.0000000000 -0.3000000119 -0.4000000060 0.0604192875 -0.0000102169 0.0000273530
6.0000000000 -0.2500000000 -0.4000000060 0.0678973496 -0.0000307909 0.0000140157
6.0000000000 -0.2000000030 -0.4000000060 0.0736059472 -0.0000438499 -0.0000030219
6.0000000000 -0.1500000060 -0.4000000060 0.0778144300 -0.0000463254 -0.0000196340
6.0000000000 -0.1000000015 -0.4000000060 0.0807054415 -0.0000379361 -0.0000331477
6.0000000000 -0.0500000007 -0.4000000060 0.0823962614 -0.0000212218 -0.0000421063
6.0000000000 0.0000000000 -0.4000000060 0.0829528049 -0.0000000443 -0.0000451794
6.0000000000 0.0500000007 -0.4000000060 0.0823962539 0.0000211792 -0.0000421353
6.0000000000 0.1000000015 -0.4000000060 0.0807054192 0.0000379549 -0.0000331954
6.0000000000 0.1500000060 -0.4000000060 0.0778144300 0.0000463271 -0.0000195948
6.0000000000 0.2000000030 -0.4000000060 0.0736059546 0.0000438345 -0.0000030423
6.0000000000 0.2500000000 -0.4000000060 0.0678973868 0.0000308096 0.0000140378
6.0000000000 0.3000000119 -0.4000000060 0.0604192726 0.0000102493 0.0000274211
6.0000000000 0.3499999940 -0.4000000060 0.0507605299 -0.0000120682 0.0000309055
6.0000000000 0.4000000060 -0.4000000060 0.0383113548 -0.0000234460 0.0000245940
6.0000000000 0.4499999881 -0.4000000060 0.0219102185 -0.0000135769 -0.0000030591
6.0000000000 0.5000000000 -0.4000000060 0.0000000017 0.0000000000 0.0000000000
6.0000000000 -0.5000000000 -0.3499999940 0.0000000102 0.0000000000 0.0000000119
6.0000000000 -0.4499999881 -0.3499999940 0.0284248292 0.0000107311 -0.0000237770
6.0000000000 -0.4000000060 -0.3499999940 0.0507607199 0.0000295122 0.0000141855
6.0000000000 -0.3499999940 -0.3499999940 0.0683153197 0.0000365881 0.0000390308
6.0000000000 -0.3000000119 -0.3499999940 0.0820938945 0.0000281279 0.0000438671
6.0000000000 -0.2500000000 -0.3499999940 0.0928534269 0.0000117364 0.0000288164
6.0000000000 -0.2000000030 -0.3499999940 0.1011025757 -0.0000036419 0.0000051988
6.0000000000 -0.1500000060 -0.3499999940 0.1072023660 -0.0000127058 -0.0000206336
6.0000000000 -0.1000000015 -0.3499999940 0.1114000008 -0.0000140823 -0.0000428635
6.0000000000 -0.0500000007 -0.3499999940 0.1138576567 -0.0000089294 -0.0000576477
6.0000000000 0.0000000000 -0.3499999940 0.1146669015 -0.0000000613 -0.0000628245
6.0000000000 0.0500000007 -0.3499999940 0.1138575822 0.0000088953 -0.0000576494
6.0000000000 0.1000000015 -0.3499999940 0.1113999411 0.0000141078 -0.0000428822
6.0000000000 0.1500000060 -0.3499999940 0.1072023511 0.0000127041 -0.0000206421
6.0000000000 0.2000000030 -0.3499999940 0.1011025757 0.0000036249 0.0000051869
6.0000000000 0.2500000000 -0.3499999940 0.0928534418 -0.0000117143 0.0000288112
6.0000000000 0.3000000119 -0.3499999940 0.0820939168 -0.0000280972 0.0000438500
6.0000000000 0.3499999940 -0.3499999940 0.0683153793 -0.0000365592 0.0000390035
6.0000000000 0.4000000060 -0.3499999940 0.0507607497 -0.0000295019 0.0000141480
6.0000000000 0.4499999881 -0.3499999940 0.0284248777 -0.0000106987 -0.0000238196
6.0000000000 0.5000000000 -0.3499999940 -0.0000000034 0.0000000034 -0.0000000017
6.0000000000 -0.5000000000 -0.3000000119 -0.0000000051 0.0000000000 0.0000000034
6.0000000000 -0.4499999881 -0.3000000119 0.0334087610 0.0000074898 -0.0000445489
6.0000000000 -0.4000000060 -0.3000000119 0.0604199432 0.0000259272 -0.0000070929
6.0000000000 -0.3499999940 -0.3000000119 0.0820943564 0.0000412592 0.0000316555
6.0000000000 -0.3000000119 -0.3000000119 0.0993578732 0.0000452298 0.0000488154
6.0000000000 -0.2500000000 -0.3000000119 0.1129435077 0.0000388218 0.0000401334
6.0000000000 -0.2000000030 -0.3000000119 0.1234150156 0.0000276733 0.0000163968
6.0000000000 -0.1500000060 -0.3000000119 0.1311829090 0.0000166626 -0.0000134313
6.0000000000 -0.1000000015 -0.3000000119 0.1365395337 0.0000082751 -0.0000404540
6.0000000000 -0.0500000007 -0.3000000119 0.1396794021 0.0000031070 -0.0000590007
6.0000000000 0.0000000000 -0.3000000119 0.1407139152 -0.0000000341 -0.0000655230
6.0000000000 0.0500000007 -0.3000000119 0.1396794021 -0.0000031496 -0.0000589768
6.0000000000 0.1000000015 -0.3000000119 0.1365395486 -0.0000082870 -0.0000404370
6.0000000000 0.1500000060 -0.3000000119 0.1311829090 -0.0000166353 -0.0000134159
6.0000000000 0.2000000030 -0.3000000119 0.1234150603 -0.0000276988 0.0000164343
6.0000000000 0.2500000000 -0.3000000119 0.1129435748 -0.0000387792 0.0000401862
6.0000000000 0.3000000119 -0.3000000119 0.0993579850 -0.0000451719 0.0000488546
6.0000000000 0.3499999940 -0.3000000119 0.0820944235 -0.0000412336 0.0000316589
6.0000000000 0.4000000060 -0.3000000119 0.0604200028 -0.0000259409 -0.0000071253
6.0000000000 0.4499999881 -0.3000000119 0.0334087685 -0.0000075018 -0.0000445404
6.0000000000 0.5000000000 -0.3000000119 -0.0000000034 0.0000000000 0.0000000000
6.0000000000 -0.5000000000 -0.2500000000 -0.0000000034 0.0000000017 -0.0000000017
6.0000000000 -0.4499999881 -0.2500000000 0.0372499712 0.0000021446 -0.0000578895
6.0000000000 -0.4000000060 -0.2500000000 0.0678987280 0.0000126530 -0.0000267470
6.0000000000 -0.3499999940 -0.2500000000 0.0928547233 0.0000263260 0.0000162930
6.0000000000 -0.3000000119 -0.2500000000 0.1129443496 0.0000366245 0.0000434567
6.0000000000 -0.2500000000 -0.2500000000 0.1288744956 0.0000396546 0.0000441600
6.0000000000 -0.2000000030 -0.2500000000 0.1412122101 0.0000359377 0.0000254790
6.0000000000 -0.1500000060 -0.2500000000 0.1503939778 0.0000281890 -0.0000026607
6.0000000000 -0.1000000015 -0.2500000000 0.1567382962 0.0000188971 -0.0000298685
6.0000000000 -0.0500000007 -0.2500000000 0.1604616493 0.0000093685 -0.0000492323
6.0000000000 0.0000000000 -0.2500000000 0.1616890877 -0.0000000204 -0.0000560696
6.0000000000 0.0500000007 -0.2500000000 0.1604616493 -0.0000093736 -0.0000492136
6.0000000000 0.1000000015 -0.2500000000 0.1567382812 -0.0000188801 -0.0000298804
6.0000000000 0.1500000060 -0.2500000000 0.1503940374 -0.0000281533 -0.0000026368
6.0000000000 0.2000000030 -0.2500000000 0.1412122548 -0.0000359309 0.0000254943
6.0000000000 0.2500000000 -0.2500000000 0.1288745850 -0.0000396444 0.0000441668
