CASE: Ulid = 0.026455 Nx = 161
U/Ulid	Z	X	W/Ulid
-0.00000037	-0.50000000	0.00000000	0.00000000
1.61211419	-0.44999999	0.05000000	0.00000012
2.97892356	-0.40000001	0.10000000	-0.00000082
4.12305689	-0.34999999	0.15000001	0.00000012
5.06688261	-0.30000001	0.20000000	-0.00000076
5.83102751	-0.25000000	0.25000000	-0.00000123
6.43322897	-0.20000000	0.30000001	-0.00000176
6.88775301	-0.15000001	0.34999999	-0.00000263
7.20525265	-0.10000000	0.40000001	-0.00000134
7.39298391	-0.05000000	0.44999999	-0.00000093
7.45510817	0.00000000	0.50000000	-0.00000081
7.39298534	0.05000000	0.55000001	0.00000046
7.20525217	0.10000000	0.60000002	0.00000087
6.88774920	0.15000001	0.64999998	0.00000104
6.43323231	0.20000000	0.69999999	0.00000029
5.83102655	0.25000000	0.75000000	-0.00000012
5.06688452	0.30000001	0.80000001	-0.00000081
4.12305927	0.34999999	0.85000002	-0.00000151
2.97892475	0.40000001	0.89999998	-0.00000069
1.61211419	0.44999999	0.94999999	0.00000174
0.00000000	0.50000000	1.00000000	0.00000266
