Iter L2_norm L2_norm_weighted Drag Lift
0 -1.0000e+00 -5.7036e-06 0.000000 0.000000
1 -1.0000e+00 -5.7036e-06 0.000000 0.000000
2 -1.0000e+00 -5.7036e-06 2.063072 2.063072
3 -1.0000e+00 -5.7036e-06 0.000000 0.000000
4 -1.0000e+00 -5.7036e-06 -1.000000 -1.000000
5 -1.0000e+00 -5.7036e-06 0.000000 0.000000
6 -1.0000e+00 -5.7036e-06 0.000001 0.000001
7 -1.0000e+00 -5.7036e-06 0.000000 0.000000
8 -1.0000e+00 -5.7036e-06 0.000000 0.000000
9 -1.0000e+00 -5.7036e-06 3.736048 3.736048
10 -1.0000e+00 -5.7036e-06 0.000000 0.000000
11 -1.0000e+00 -5.7036e-06 -nan -nan
12 -1.0000e+00 -5.7036e-06 0.000000 0.000000
13 -1.0000e+00 -5.7036e-06 0.000000 0.000000
14 -1.0000e+00 -5.7036e-06 0.000000 0.000000
15 -1.0000e+00 -5.7036e-06 0.000000 0.000000
16 -1.0000e+00 -5.7036e-06 0.000000 0.000000
17 -1.0000e+00 -5.7036e-06 0.000000 0.000000
18 -1.0000e+00 -5.7036e-06 0.250000 0.250000
19 -1.0000e+00 -5.7036e-06 0.000000 0.000000
20 -1.0000e+00 -5.7036e-06 4.125000 4.125000
21 -1.0000e+00 -5.7036e-06 -4.125000 -4.125000
22 -1.0000e+00 -5.7036e-06 4.125000 4.125000
23 -1.0000e+00 -5.7036e-06 -4.125000 -4.125000
24 -1.0000e+00 -5.7036e-06 0.000000 0.000000
25 -1.0000e+00 -5.7036e-06 0.000000 0.000000
26 -1.0000e+00 -5.7036e-06 0.000000 0.000000
27 -1.0000e+00 -5.7036e-06 0.000000 0.000000
28 -1.0000e+00 -5.7036e-06 -276690176984481792.000000 -276690176984481792.000000
29 -1.0000e+00 -5.7036e-06 0.000000 0.000000
30 -1.0000e+00 -5.7036e-06 -264586752985923584.000000 -264586752985923584.000000
31 -1.0000e+00 -5.7036e-06 0.000000 0.000000
32 -1.0000e+00 -5.7036e-06 -252483328987365376.000000 -252483328987365376.000000
33 -1.0000e+00 -5.7036e-06 0.000000 0.000000
34 -1.0000e+00 -5.7036e-06 -204069632993132544.000000 -204069632993132544.000000
35 -1.0000e+00 -5.7036e-06 0.000000 0.000000
36 -1.0000e+00 -5.7036e-06 0.000000 0.000000
37 -1.0000e+00 -5.7036e-06 0.000000 0.000000
38 -1.0000e+00 -5.7036e-06 0.000000 0.000000
39 -1.0000e+00 -5.7036e-06 0.000000 0.000000
40 -1.0000e+00 -5.7036e-06 0.000000 0.000000
41 -1.0000e+00 -5.7036e-06 0.000000 0.000000
42 -1.0000e+00 -5.7036e-06 0.000000 0.000000
43 -1.0000e+00 -5.7036e-06 0.000000 0.000000
44 -1.0000e+00 -5.7036e-06 0.000000 0.000000
45 -1.0000e+00 -5.7036e-06 0.000000 0.000000
46 -1.0000e+00 -5.7036e-06 0.000000 0.000000
47 -1.0000e+00 -5.7036e-06 0.000000 0.000000
48 -1.0000e+00 -5.7036e-06 -240379904988807168.000000 -240379904988807168.000000
